Date_ymd,mean_temp,max_temp,min_temp,mean_pH,max_pH,min_pH,mean_SpCond,max_SpCond,min_SpCond,mean_Turbidity,max_Turbidity,min_Turbidity,mean_CHLa,max_CHLa,min_CHLa,mean_ODOsat,max_ODOsat,min_ODOsat,mean_ODOmgL,max_ODOmgL,min_ODOmgL
2013-07-04,28.954791666666665,31.32,27.38,8.844166666666666,9.21,8.02,178.66666666666666,187,172,20.685416666666665,92.7,10.1,25.827083333333334,32.4,16.9,136.95104166666667,170.3,104.4,10.364765641189267,12.529792352073045,7.999721232221776
2013-07-05,29.363125,30.88,27.87,8.8546875,9.1,8.19,178.23958333333334,193,169,21.557291666666668,37.7,12.7,24.530208333333334,29.8,19.4,132.065625,162.6,106.4,9.923894724046118,11.958723875480246,8.194581590277725
2013-07-06,29.5634375,31.08,28.09,8.648229166666667,9.03,7.94,172.92708333333334,189,163,23.792708333333334,42,11.6,23.344791666666666,28.9,16.8,129.86875,160.2,98.7,9.7194866343538,11.793401645694459,7.587233778447094
2013-07-07,29.3084375,30.11,28.05,8.435208333333334,8.84,7.69,165.5,192,157,25.29375,49.5,15.5,21.411458333333332,26.6,15.8,120.82395833333334,141.6,95.9,9.096028827685107,10.531361231999998,7.399845739879883
2013-07-08,28.561354166666668,29.47,27.27,8.237604166666667,8.74,7.3,187.10416666666666,196,173,23.704166666666666,41.2,12.4,19.041666666666668,25.2,11.8,114.31875,140.5,91.2,8.729222035622103,10.67897451036356,7.085129731298161
2013-07-09,28.358645833333334,29.17,27.56,8.360416666666667,8.85,7.74,192.89583333333334,202,184,21.034375,45.4,12.3,18.386458333333334,24.3,11.2,122.72291666666666,150.7,89.9,9.401502649289315,11.385312269600222,6.980183670881723
2013-07-10,28.56625,29.46,27.73,8.507708333333333,8.89,7.85,191.19791666666666,201,181,21.635416666666668,40.8,12.2,20.635416666666668,24.6,13.5,123.81979166666666,149.8,101.3,9.45122828829732,11.31731770395563,7.83570735394174
2013-07-11,27.985729166666665,28.88,27.35,8.304270833333334,8.72,7.7,184.07291666666666,198,172,23.19375,40.1,12,20.95625,25.7,17,110.85416666666667,128.1,87.5,8.562310309033492,9.849117645818808,6.831122260866733
2013-07-12,27.2496875,27.61,26.6,8.15125,8.43,7.73,177.11458333333334,185,169,21.371875,36,8.8,20.042708333333334,23.6,16.2,114.578125,133.8,97.9,8.975295785141917,10.455627293523111,7.64304993530118
2013-07-13,27.22072916666667,28.06,26.59,8.200520833333334,8.67,7.73,176.75,181,169,14.035416666666666,21.3,8.5,19.976041666666667,24.5,16,126.959375,149.1,106.6,9.943529718219347,11.581069654243278,8.45548012593956
